model,source_row,review_en,true_aspects,predicted_aspects,exact_match,label_error_count,false_positive_aspects,false_negative_aspects,mean_true_probability,min_true_probability,mean_predicted_probability,max_wrong_probability
MPNet unretrained,204,the taste of kachchi is really unforgettable but the price is very high,"food, price","food, price",True,0,None,None,0.5711782166348722,0.5606968401775505,0.5711782166348722,0.0
MPNet unretrained,101,chicken corn soup is just chicken and corn and the price is not that high,"food, price","food, price",True,0,None,None,0.5674126433133586,0.5576111103244424,0.5674126433133586,0.0
MPNet unretrained,594,i ate dumba meat for the first time in my life and i liked the taste but it cost me a lot of money,"food, price","food, price",True,0,None,None,0.56653181316656,0.5578545476134473,0.56653181316656,0.0
MPNet unretrained,734,the price is good and the taste is great,"food, price","food, price",True,0,None,None,0.5662043687270695,0.5600991206538461,0.5662043687270695,0.0
MPNet unretrained,792,meat items are just fat and fat but the price is a bit high,"food, price","food, price",True,0,None,None,0.5651533404150261,0.5556331927957231,0.5651533404150261,0.0
MPNet unretrained,326,the jhal fry portion was very juicy and the price was within the common man s budget,"food, price","food, price",True,0,None,None,0.564587048070463,0.5608084489352463,0.564587048070463,0.0
MPNet unretrained,231,the price of each item is high but i did not like the taste of each item,"food, price","food, price",True,0,None,None,0.5644557888282609,0.563341205885811,0.5644557888282609,0.0
MPNet unretrained,78,amrit taste but the price is a bit high,"food, price","food, price",True,0,None,None,0.562809516295115,0.559292451572948,0.562809516295115,0.0
MPNet unretrained,139,the price is so low and the taste is just right,"food, price","food, price",True,0,None,None,0.5625499956791573,0.5545490365998489,0.5625499956791573,0.0
MPNet unretrained,306,the beef was so soft and juicy that i cannot explain it but the price was high,"food, price","food, price",True,0,None,None,0.5619811392403147,0.5577849415729464,0.5619811392403147,0.0
MPNet unretrained,314,the price of hilsa fish tail filling was also low and the taste was decent,"food, price","food, price",True,0,None,None,0.561949779829304,0.5586587217802947,0.561949779829304,0.0
MPNet unretrained,66,best chicken pressure the price of 120 rupees seemed right to me,"food, price","food, price",True,0,None,None,0.5611760376085909,0.5463070068649027,0.5611760376085909,0.0
MPNet unretrained,137,the price is low and the taste is good,"food, price","food, price",True,0,None,None,0.560233460037296,0.5551433702290405,0.560233460037296,0.0
MPNet unretrained,97,i have not eaten bharta with so much flavor before and the price is also low,"food, price","food, price",True,0,None,None,0.5596741574597143,0.5552400419191003,0.5596741574597143,0.0
MPNet unretrained,199,yogurt is bad to eat and the price is so high,"food, price","food, price",True,0,None,None,0.5592322543192976,0.5468187489829929,0.5592322543192976,0.0
MPNet retrained,628,it is usually a little less salty than other dishes the taste is unmatched,food,food,True,0,None,None,0.6706481554131419,0.6706481554131419,0.6706481554131419,0.0
MPNet retrained,314,the price of hilsa fish tail filling was also low and the taste was decent,"food, price","food, price",True,0,None,None,0.6605108616215424,0.6461230460323243,0.6605108616215424,0.0
MPNet retrained,204,the taste of kachchi is really unforgettable but the price is very high,"food, price","food, price",True,0,None,None,0.659236325006556,0.6420905531228421,0.659236325006556,0.0
MPNet retrained,356,the price of the food is high but the quality of the food is not so good,"food, price","food, price",True,0,None,None,0.6592345093681091,0.6380209225600318,0.6592345093681091,0.0
MPNet retrained,548,there is no sweetness in the laddu bro and the price is so high that i am disappointed,"food, price","food, price",True,0,None,None,0.6589802057081263,0.6388082982639754,0.6589802057081263,0.0
MPNet retrained,692,although the price of the product has increased the quality and taste have not changed,"food, price","food, price",True,0,None,None,0.6589174819081192,0.6383168825561827,0.6589174819081192,0.0
MPNet retrained,81,ilhasvajata is the same and the price is affordable,"food, price","food, price",True,0,None,None,0.6589095363862705,0.6403251012563063,0.6589095363862705,0.0
MPNet retrained,434,there was nothing sweet about lachchi and the price was too expensive,"food, price","food, price",True,0,None,None,0.658794877172923,0.6482677650578726,0.658794877172923,0.0
MPNet retrained,78,amrit taste but the price is a bit high,"food, price","food, price",True,0,None,None,0.6586544722510853,0.639564094344529,0.6586544722510853,0.0
MPNet retrained,309,that is why the taste is slightly different and the price is same as normal khichuri egg,"food, price","food, price",True,0,None,None,0.6586213363804614,0.6448646370919463,0.6586213363804614,0.0
